sentiment_average,sentiment_count,date
0.2713201412895658,12,2023-05-29
0.2333333333333333,3,2023-05-31
0.29067406655613415,12,2023-05-30
0.022517586580086565,8,2023-05-28
-0.02182539682539683,3,2023-05-27
0.13502189033189035,45,2023-05-26
0.17532392437386204,104,2023-05-25
0.23254005350981152,62,2023-05-24
0.25244304388422034,7,2023-05-23
0.254984187890032,7,2023-05-21
0.2227906726972661,5,2023-05-20
0.18680046022353716,13,2023-05-19
0.16156318757892277,36,2023-05-18
0.26216186299081035,19,2023-05-17
0.18326087261503926,9,2023-05-16
0.40654861111111107,4,2023-05-22
0.19639996772233612,8,2023-05-15
0.02606970951126795,7,2023-05-14
0.07724358974358973,3,2023-05-13
0.2901795634920635,4,2023-05-12
0.2754261363636364,11,2023-05-11
0.26666666666666666,2,2023-05-10
0.024374999999999997,4,2023-05-03
0.3414496527777778,4,2023-05-09
0.055555555555555546,3,2023-05-02
0.2753432867637413,13,2023-05-08
0.2333333333333333,1,2023-04-30
0.13304022366522367,3,2023-05-05
0.14565244279529993,7,2023-04-27
0.16666666666666666,2,2023-05-01
0.1859126984126984,6,2023-04-20
-0.11964285714285716,7,2023-04-26
0.30416666666666664,2,2023-04-18
0.12654865197413823,8,2023-04-25
0.14828042864873225,7,2023-04-17
0.09754901960784312,2,2023-04-24
0.13156565656565655,3,2023-04-13
0.12302083333333332,4,2023-04-10
0.45555555555555555,3,2023-04-09
0.10416666666666666,2,2023-04-16
0.10888888888888888,3,2023-04-08
-0.38333333333333336,2,2023-04-15
0.19067460317460316,3,2023-04-14
0.12916666666666665,4,2023-04-12
0.2333333333333333,1,2023-04-11
-0.013541666666666681,4,2023-04-04
0.19166666666666665,4,2023-04-01
0.3566666666666667,4,2023-04-07
0.07716161616161617,3,2023-04-06
0.5416666666666666,2,2023-03-29
0.14444444444444446,3,2023-04-05
0.04682954545454546,4,2023-04-03
-0.033333333333333354,2,2023-03-31
0.11074459714916705,12,2023-03-23
0.2833333333333333,2,2023-03-24
0.0650219671201814,4,2023-03-30
0.14460429121143406,12,2023-03-22
0.18488789145785314,8,2023-03-21
-0.07083333333333335,2,2023-03-28
0.2139177844846859,8,2023-03-20
0.1718181818181818,6,2023-03-19
0.10243055555555552,6,2023-03-17
0.3333333333333333,1,2023-03-15
0.5,1,2023-03-13
0.21507936507936506,3,2023-03-12
0.19221917450365728,4,2023-03-18
-0.058333333333333334,2,2023-03-09
0.2333333333333333,1,2023-03-08
0.2617063492063492,3,2023-03-16
