date,average_sentiment,sentiment_count,close_price
2022-06-02,0.0,0.0,417.3900146484375
2022-06-03,0.0,0.0,410.5400085449219
2022-06-04,0.0,0.0,410.95667521158856
2022-06-05,0.0,0.0,411.3733418782552
2022-06-06,0.0,0.0,411.7900085449219
2022-06-07,0.0,0.0,415.739990234375
2022-06-08,0.0,0.0,411.2200012207031
2022-06-09,0.0,0.0,401.44000244140625
2022-06-10,0.0,0.0,389.79998779296875
2022-06-11,0.0,0.0,384.8666585286458
2022-06-12,0.0,0.0,379.93332926432294
2022-06-13,0.0,0.0,375.0
2022-06-14,0.0,0.0,373.8699951171875
2022-06-15,0.0,0.0,379.20001220703125
2022-06-16,0.0,0.0,366.6499938964844
2022-06-17,0.0,0.0,365.8599853515625
2022-06-18,0.0,0.0,368.16249084472656
2022-06-19,0.0,0.0,370.4649963378906
2022-06-20,0.0,0.0,372.7675018310547
2022-06-21,0.0,0.0,375.07000732421875
2022-06-22,0.0,0.0,374.3900146484375
2022-06-23,0.0,0.0,378.05999755859375
2022-06-24,0.0,0.0,390.0799865722656
2022-06-25,0.0,0.0,389.5833231608073
2022-06-26,0.0,0.0,389.08665974934894
2022-06-27,0.0,0.0,388.5899963378906
2022-06-28,0.0,0.0,380.6499938964844
2022-06-29,0.0,0.0,380.3399963378906
2022-06-30,0.0,0.0,377.25
2022-07-01,0.0,0.0,381.239990234375
2022-07-02,0.0,0.0,381.4199905395508
2022-07-03,0.0,0.0,381.59999084472656
2022-07-04,0.0,0.0,381.77999114990234
2022-07-05,0.0,0.0,381.9599914550781
2022-07-06,0.0,0.0,383.25
2022-07-07,0.0,0.0,388.989990234375
2022-07-08,0.0,0.0,388.6700134277344
2022-07-09,0.0,0.0,387.1900126139323
2022-07-10,0.0,0.0,385.7100118001302
2022-07-11,0.0,0.0,384.2300109863281
2022-07-12,0.0,0.0,380.8299865722656
2022-07-13,0.0,0.0,378.8299865722656
2022-07-14,0.0,0.0,377.9100036621094
2022-07-15,0.0,0.0,385.1300048828125
2022-07-16,0.0,0.0,384.07000732421875
2022-07-17,0.0,0.0,383.010009765625
2022-07-18,0.0,0.0,381.95001220703125
2022-07-19,0.0,0.0,392.2699890136719
2022-07-20,0.0,0.0,394.7699890136719
2022-07-21,0.0,0.0,398.7900085449219
2022-07-22,0.0,0.0,395.0899963378906
2022-07-23,0.0,0.0,395.25
2022-07-24,0.0,0.0,395.4100036621094
